直播源{上海电信} ,#genre#
新闻综合,http://218.1.218.52:7777/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://218.1.218.52:7777/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
都市频道,http://218.1.218.52:7777/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
纪实人文,http://218.1.218.52:7777/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
东方影视,http://218.1.218.52:7777/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
第一财经,http://218.1.218.52:7777/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
五星体育,http://218.1.218.52:7777/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
东方财经,http://218.1.218.52:7777/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
ICS频道,http://218.1.218.52:7777/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
上海教育台,http://218.1.218.52:7777/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
七彩戏剧,http://218.1.218.52:7777/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
法治天地,http://218.1.218.52:7777/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
金色学堂,http://218.1.218.52:7777/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://218.1.218.52:7777/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://218.1.218.52:7777/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://218.1.218.52:7777/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://218.1.218.52:7777/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://218.1.218.52:7777/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://218.1.218.52:7777/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://218.1.218.52:7777/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://218.1.218.52:7777/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://218.1.218.52:7777/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CGTN,http://218.1.218.52:7777/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://218.1.218.52:7777/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://218.1.218.52:7777/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://218.1.218.52:7777/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://218.1.218.52:7777/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://218.1.218.52:7777/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://218.1.218.52:7777/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://218.1.218.52:7777/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV16,http://218.1.218.52:7777/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://218.1.218.52:7777/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&authid=0
财富天下,http://218.1.218.52:7777/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&authid=0
CETV,http://218.1.218.52:7777/tsfile/live/1041_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰纪实,http://218.1.218.52:7777/tsfile/live/1042_1.m3u8?key=txiptv&playlive=1&authid=0
